C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_356.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_356.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_356.jpg,0,1,0,30.19031
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_499.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_499.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_499.jpg,0,1,0,30.19036
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_639.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_639.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_639.jpg,0,1,0,30.19027
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_777.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_777.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_777.jpg,0,1,0,30.19026
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_848.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_848.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_848.jpg,-0.01886792,1,0,30.19019
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_918.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_918.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_918.jpg,-0.04716982,1,0,30.18988
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_39_989.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_39_989.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_39_989.jpg,-0.0754717,1,0,30.18936
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_40_059.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_40_059.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_40_059.jpg,-0.0754717,1,0,30.18961
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_40_129.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_40_129.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_40_129.jpg,-0.0754717,1,0,30.18987
C:\Users\User\sdcarnd\windows_sim\IMG\center_2018_07_07_14_17_40_199.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\left_2018_07_07_14_17_40_199.jpg,C:\Users\User\sdcarnd\windows_sim\IMG\right_2018_07_07_14_17_40_199.jpg,-0.0754717,1,0,30.18998
